omc,code,name,area,latitude,longitude
IOCL,372405,ADHOC-VANDAVASI SREE ,"GANDLAKOTHUR,NH69,CHITTOOR",13.197384,79.060798
IOCL,197004,Raj Highway Services ,"NH-27, Kushinagar",26.657938,84.203529
IOCL,217964,SAI SRAVANTHI FILLING STATION,"PANCHALINGALA,NH44",15.874509,78.015755
IOCL,178525,BHANSALI FUELS,"chedi khedi, NH6, RAIPUR DISTRICT",21.235047,81.725235
IOCL,126106,SWAGAT SAI AUTO SERVICES,Waluj,19.805684,75.231927
IOCL,250162,SWAGAT AVON FILLING STATION,Barakhursi,22.70044964,86.39081014
IOCL,256892,SWAGAT SANJEEV JUBLEE PETROLEUM,MAJETHI MUZAFFARPUR,26.11526481,85.55170641
IOCL,112886,SWAGAT GHANSHYAM,Adas,22.4836,73.0475
IOCL,160404,N K Petroleum,CHAGOLIA PART II NH31 P.O. CHAGOLIA -783335DIST. DHUBRI ASSAM.,26.3126,89.7594
IOCL,218384,Gouda Petroleums,Haveri,14.6942,75.53087
IOCL,151284,DELIGHT FUELS,Gidani,26.708467,75.272504
IOCL,335799,SHREE GANESH & CO.,Nani Chirai,23.184158,70.214275
IOCL,366132,SWAGAT COCO MORAIYA,Moraiya,22.90997,72.43072
IOCL,356753,LUMSHNONG FUELS,LUMSHNONG EAST JAINTIA HILLS MEGHALAYA,25.16921,92.38982
IOCL,364417,Swagat Krishnapatnam,Nellore,14.260328,80.013362
IOCL,209691,MM Service Station,Udayapur,12.963867,76.330254
IOCL,118477,Renuka Petroleums,Belgaum,15.98349583,74.50804944
IOCL,125961,G.N.AGRAWAL,Temburna,20.682804,76.601547
IOCL,370731,SWAGAT Ongole,NH 16 LHS Surareddypalem,15.40019,80.040207
IOCL,369661,COCO NARAYANPUR,"Narayanpur, NH 12, Malda District",25.069709,88.145772
IOCL,368979,COCO ISLAMPUR,Islampur NH27 Uttar Dinajpur Dist.,26.304669,88.260418
IOCL,362224,COCO BIJAPUR - SP,NH 52,16.8342,75.74326
