name,latitude,longitude,phone,address,location
BPCL Charging Station,29.5119402,76.9730902,,"GX6F+Q6G, Malikpura, Kharkhoda, Sarai Kohand",0101000020E6100000B8431E1C473E5340F98150830E833D40
Mercedes-Benz Charging Station,29.602294,76.981777,,"KM Stone, 117, NH-1, Grand Trunk Rd, Kutail, Karnal",0101000020E6100000C2BD326FD53E5340B89388F02F9A3D40
Jio-bp pulse Charging Station,29.4937184,76.9711943,,"Ground Floor NH 1, Kohand, 100, near Mile Stone, Gharaunda, Karnal",0101000020E6100000F123230C283E5340F66E3D54647E3D40
Jio-bp pulse,29.328198,76.987393,,"Khasra No 137, 18/1, NH 1, Sewah, Dadola, Panipat",0101000020E610000028D36872313F5340D49CBCC804543D40
Electric Vehicle Charging Station,29.3808274,76.9565919,,"9XJ4+8JQ, Jattal Rd, Sat Kartar Colony, Sat Kartar Nagar, Panipat",0101000020E610000096873BCD383D5340B46B8CE77D613D40
Electric Vehicle Charging Station,29.5691963,77.7648532,,"HQ97+MVP, Chhapar",0101000020E61000006C0FD65AF3705340148145D9B6913D40
Electric Vehicle Charging Station,29.580056,77.7748939,,"HQHF+WW7, Chhapar",0101000020E6100000AC9795DC977153403CD9CD8C7E943D40
Electric Vehicle Charging Station,29.5941089,77.7835714,,"HQVM+JF9, NH334, opposite to gausala, near hp pertrol pump, Barla",0101000020E61000002E45A8082672534035C3578517983D40
EV Dock Charging Station,30.1268927,78.3209491,,"48GC+PC9 lakshman kund, Tapovan, Rishikesh, Jonk",0101000020E6100000900B186E8A945340E4993C0A7C203E40
Jio-bp pulse,30.8343423,75.8940459,,"Palm Walk Southern Bypass, Canal Road, near D Mart, Jaspal Bangar, Ludhiana",0101000020E6100000DD674B0C38F952405F2BFC7497D53E40
Jio-bp Charging Station,30.9035538,75.8362088,,"WR3P+CFG, Koh - E - Fiza, Ludhiana",0101000020E61000002728EA7184F55240312D454D4FE73E40
Exicom Charging Station,30.661556,76.7336356,,"PLOT NO-18,19 INDL AREA, Sector 82, JLPL Industrial Area",0101000020E61000009B4BBBE2F32E5340FB78E8BB5BA93E40
Mercedes-Benz Charging Station,30.7003171,76.7895496,,"PQ2Q+4RF Audi Chandigarh Sales & Services, Industrial Area Phase II, Chandigarh",0101000020E610000079A40BFB873253405E5441FB47B33E40
Adani Charging Station,30.65056,76.822055,,"Royale Estate, OXFORD STREET, Chandigarh-Ambala Hwy, Zirakpur",0101000020E6100000DA20938C9C345340F415A4198BA63E40
Adani Charging Station,30.6580237,76.8206688,,"Showram Hotels Private Limited),CHANDIGARH, AMBALA HIGHWAY, opp. PARAS DOWN TOWN SQUARE MALL, Zirakpur, Mohali",0101000020E61000003F366ED685345340307EBF3D74A83E40
Adani Charging Station,30.631777,76.780358,,"Dialpura, Riverdale, AEROVISTA, Aerovista Shopping Arcade, Village, Sahibzada Ajit Singh Nagar",0101000020E6100000024BAE62F1315340705D3123BCA13E40
ZEVPOINT Charging Station,30.6668707,76.8146887,,"Hotel, Ramada Plaza, Godown Area, Zirakpur",0101000020E6100000EEBA12DC233453401F29C709B8AA3E40
Adani Charging Station,30.6371205,76.7588159,,"Mohali Citi Centre-2, Block-F, Mohali Citi Centre-2, Gmada Aerocity, Sahibzada Ajit Singh Nagar, Rupnagar",0101000020E6100000D48B907090305340761C3F541AA33E40
Adani Charging Station,30.6546852,76.8525258,,"MV33+V2V, Chinar Homes At Village Kishanpura, Tehsil – Derrabassi, Zirakpur, Sahibzada Ajit Singh Nagar",0101000020E6100000C27F5FC88F365340DB2C037399A73E40
Adani Charging Station,30.6389833,76.8168524,,"AMCARE HOSPITAL, VIP Rd, Zirakpur, MOHALI",0101000020E61000002FEA494F47345340AE30D86894A33E40
Adani Charging Station,30.6520913,76.843623,,"SCO 27, Balaji Complex, Old Ambala Rd, Dhakoli, Zirakpur, SAS NAGAR",0101000020E6100000D1C952EBFD35534091819774EFA63E40
Adani Charging Station,30.659115,76.844516,,"MR5V+MR3 GROUP, HOTEL SWAN, Old Ambala Rd, J S, Dhakoli, Dappar, Zirakpur",0101000020E6100000B83CD68C0C365340944DB9C2BBA83E40
Adani Charging Station,30.6577424,76.8606183,,"Trishla Little India Business Square, Peer Muchalla, Zirakpur, Patiala",0101000020E6100000B435C75E143753404B3151CE61A83E40
Electric Vehicle Charging Station,30.6654366,76.8468569,,"MR8W+2M8, Sector 20, Panchkula",0101000020E6100000167948E732365340BA8F920D5AAA3E40
EVRE Charging Station,30.680672,76.723037,,"1, Sector 68, Sahibzada Ajit Singh Nagar",0101000020E61000001233FB3C462E53408C4D2B8540AE3E40
Adani Charging Station,30.6668982,76.8155306,,"Hotel The Hamilton, Ambala - Chandigarh Expy, opp. Ramada Plaza, Zirakpur, Sahibzada Ajit Singh Nagar",0101000020E6100000C9F841A731345340E2C226D7B9AA3E40
ChargeZone Charging Station,30.6503132,76.7326676,,"Nanuan's Travel, Plot No. 1060, Sector 82, JLPL Industrial Area, Sahibzada Ajit Singh Nagar",0101000020E6100000AF35A506E42E5340382806ED7AA63E40
Electric Vehicle Charging Station,30.6496261,76.8216018,,"JRXC+VJ5, Ambala - Chandigarh Expy, Green Park Colony, Zirakpur",0101000020E61000006C55B71F95345340C62066E54DA63E40
Electricfuel Charging Station,30.675356,76.832012,,"MRGJ+4RR, Industrial Area Phase 2, Panchkula",0101000020E61000004B7842AF3F3553404A287D21E4AC3E40
Powerbank Charging Station,30.6297483,76.7701449,,"JQHC+V3R, Gmada Aerocity, Sahibzada Ajit Singh Nagar",0101000020E610000099ABD50D4A3153402B36412F37A13E40
Tata Power Charging Station,30.6990739,76.7855577,,"Plot No.40, Industrial Area Phase II, Chandigarh",0101000020E6100000BEA7CD9346325340B7FCD181F6B23E40
Rimone Charging Station,30.6616038,76.739877,,"Jlpl Falcon View Block-E, Jlpl Falcon View, Sector 66 A, Papri",0101000020E610000002840F255A2F5340CAE8DBDD5EA93E40
Bolt.Earth Charging Station,30.677277,76.72393,,"Site No. 252, CP67, Level 2, Charger Airport Road, Sector 67, Sahibzada Ajit Singh Nagar",0101000020E6100000F8A57EDE542E53403F55850662AD3E40
RIMONE Charging Station,30.6587911,76.7417478,,"MP5R+FPX, Papri Rd, Sector 66 A, Papri",0101000020E610000051B8C3CB782F534057659588A6A83E40
Tata Power Charging Station,30.6964584,76.7966381,,"1046, Dakshin Marg, Ram Darbar, Industrial Area Phase II, Chandigarh",0101000020E6100000D88F5E1EFC325340450603194BB23E40
Tata Power Charging Station,30.366465,78.0703122,,"B1, Pacific mall, Rajpur Rd, Dehradun",0101000020E6100000A1E0BDFE7F845340EF2076A6D05D3E40
Dash Dynamic Charging Station,30.3153688,77.9995589,,"413, South, near Malik Chowk, Indra Nagar Colony, Dehradun",0101000020E61000003F7BE4C5F87F5340C42D7A02BC503E40
Adani Charging Station,31.6284066,74.8878316,,"55F, City Centre, Amritsar",0101000020E6100000BE96A13BD2B852402F974341DFA03F40
Adani Charging Station,31.6298,74.869,,"Gol Bagh, Narain Nagar, Goal Bagh, Amritsar",0101000020E6100000560E2DB29DB752405305A3923AA13F40
Statiq Charging Station,31.6194,74.907204,,"Basement 1, Nexus Amritsar, Grand Trunk Rd, Rajinder Nagar, Maqbool Pura, Amritsar, Amritsar Cantt.",0101000020E610000039B35DA10FBA5240742497FF909E3F40
Adani Charging Station,31.6084296,74.8777623,,"Bulariya Park, Guru Ram Das Nagar, Himatpura, Amritsar, Amritsar Cantt.",0101000020E61000005A0AED412DB852401AEBD10AC29B3F40
Adani Charging Station,31.6309254,74.8991736,,"40 Khoo, Golden Avenue, Amritsar",0101000020E61000004D5B6D0F8CB952403937B75384A13F40
Adani Charging Station,31.6292,74.8299116,,"JRHH+MXF, Kot Khalsa Rd, Guru Arjun Nagar, Kabir Park Colony, Amritsar",0101000020E61000008C248B451DB55240A9A44E4013A13F40
Adani Charging Station,31.611808,74.8819603,,"Ranjhe Di Haveli, Antaryami colony, Amritsar Cantt., Amritsar",0101000020E6100000B4379D0972B85240616EF7729F9C3F40
Adani Charging Station,31.6342914,74.8649637,,"Sarhadi Complex, Grand Trunk Rd, near Railway Station, Guru Arjun Nagar, Amritsar",0101000020E61000008AEEB4905BB752405122D3EB60A23F40
Adani Charging Station,31.6206387,74.8653136,,"JVC8+744, Beri Gate Ln, nr. Thana D -Division, Dhab Khatikan, Lahori Gate, Amritsar",0101000020E61000002D324B4C61B75240C821872DE29E3F40
Adani Charging Station,31.632811,74.873952,,"Pandit Deen Dayal Complex, Sabji Mandi, Old, Cooper Rd, Ram Bagh, Hathi Gate, Katra Ahluwalia, Amritsar",0101000020E610000086915ED4EEB752408F8CD5E6FFA13F40
